related_country_risk_id,related_country_risk_title,susceptibility_summary,evidence_quote,confidence,PROJ_ID_IB
SLE-001,Deep Ethnic and Political Divisions Threatening National Cohesion,"The project's political and governance risk is rated Substantial, with the PAD acknowledging the country's political situation as a key risk driver. Deep ethnic and political divisions could affect the equitable geographic targeting of school infrastructure, teacher deployment, and school grants, particularly if political considerations influence which districts or communities receive project benefits.",Political and Governance: Substantial. The political risk is substantial in light of the country context and the current political situation.,0.72,P167897
SLE-003,Suppression of Civil Society and Erosion of Anti-Corruption Accountability,"The PAD identifies fraud and corruption risks including poor governance practices and weak PFM environment as inherent project risks. In a context where anti-corruption accountability mechanisms are being eroded at the country level, the project's reliance on internal audit oversight and government-managed financial controls may be insufficient to prevent misuse of funds.","Inefficient service delivery due to poor governance practices and weak PFM environment is an inherent issue. The possibility of circumventing the IC system such as colluding practices, bribes, abuse of administrative positions, and misprocurement among other considerations are critical risks that may arise.",0.8,P167897
SLE-008,Displacement and Weak Asylum System Capacity,"The project targets approximately 1.7 million students across 7,600 schools using Annual School Census data for beneficiary identification and targeting. Displacement of populations—even at moderate scale—could render census-based targeting inaccurate, cause enrolled students to drop out, and undermine attendance-based performance metrics used to disburse school grants.","Share of PBF schools meeting 85% of student attendance rate... Data will be collected every term and this indicator will take an average of the three visits... The project is expected to significantly contribute to improving the performance of the education sector in Sierra Leone. The direct beneficiaries of the project include 1.7 million students, 49,000 teachers, and SMC members in 7,600 schools.",0.6,P167897
SLE-004,Political Violence Including State Security Force Abuses and Election-Related Violence,"The project involves extensive field-level implementation including classroom construction supervision, school visits by clerks of works and LC engineers, and third-party monitoring activities across all districts. Political violence and restrictions on movement or assembly could disrupt field supervision, delay civil works oversight, and impede the independent monitoring activities that are central to the project's accountability framework.","To supervise civil works activities in the school, a clerk of works will be hired to follow the day-to-day activities on-site ensuring the quality of construction and adherence to specifications... The World Bank will contract an independent third-party monitoring agent, using MDTF World Bank-Executed funds to carry out monitoring activities (e.g., beneficiary feedback survey and activity verification).",0.7,P167897
SLE-001,Deep Ethnic and Political Divisions Threatening National Cohesion,"The PAD explicitly acknowledges political risk from post-election tensions and the potential for deep political disagreements between the ruling party and opposition to affect project development objectives. With the opposition holding a parliamentary majority, legislative reforms required under Component 1 (business registration, land records, collateral registry) could be delayed or blocked by political gridlock, undermining the project's business environment reform agenda.","However, with the main opposition APC having the majority seats in parliament, there could be a tendency for deep political disagreements over policies, which could potentially affect the development objectives supported by the operation.",0.85,P164212
SLE-002,Executive Overreach and Concentration of Power Undermining Democratic Institutions,"The project's fiduciary arrangements are rated High risk, with the PAD noting that key principles of accountability, transparency, and value for money are not consistently followed in Sierra Leone's public financial management environment. In a context where public institutions are used for patronage, the concentration of fiduciary functions in the PFMU under MoF—whose funding modalities remain unresolved—creates vulnerability to management overrides and misuse of project funds.","The overall fiduciary environment is weak, resulting in a high fiduciary risk rating. There is little evidence that key principles including value for money, economy, efficiency, effectiveness, integrity, transparency, and accountability are followed... Currently, modalities are yet to be adopted to fully fund the operations of this unit and ensure that it is well resourced, which raises the fiduciary risk level to High.",0.82,P164212
SLE-003,Suppression of Civil Society and Erosion of Anti-Corruption Accountability,"The project relies on NGOs, civil society organizations, and private sector actors for GBV response, grievance redress, entrepreneurship ecosystem support, and public-private dialogue. In an environment where civil society faces pressure to remain silent on state conduct, the independence and effectiveness of these actors in project implementation—particularly in holding government accountable through the GRM and citizen engagement mechanisms—may be compromised.","A NGO will be recruited to support the project to establish and implement the GBV GRM as well as to manage GBV cases including referral and accompaniment, as required, to medical/physical-social counseling... Communities and individuals who believe that they are adversely affected by a World Bank (WB) supported project may submit complaints to existing project-level grievance redress mechanisms.",0.7,P164212
SLE-004,Political Violence Including State Security Force Abuses and Election-Related Violence,"The project's tourism destination investments are explicitly identified as locations with elevated GBV risk, including risks of sexual exploitation and trafficking. In an environment of political violence and weak rule of law, the project's GBV mitigation measures—which depend on contractor compliance, NGO capacity, and functional referral systems—may be insufficient to protect beneficiaries, particularly women and vulnerable groups in tourist hotspot areas.","Considering that the project will invest in tourist locations which are typically identified as hot spots for sex workers, minor headed households and child trafficking, among others, the GBV risk mitigation measures under the project will be commensurate with a moderate risk scenario.",0.74,P164212
SLE-006,Spillover Risk from Sahel Terrorism and Expanding Militant Networks in Coastal West Africa,"The project's tourism component depends on attracting international visitors and investors to Sierra Leone. Security deterioration from regional militant spillover could suppress tourist arrivals and investor confidence, directly undermining the project's core tourism rebranding and infrastructure subproject outcomes.","High – prevention of an EVD outbreak will foster a safe environment for investors, their staff and encourage tourists to visit.",0.55,P164212
SLE-002,Executive Overreach and Concentration of Power Undermining Democratic Institutions,"The PAD explicitly identifies political interference in project financial management as a high-rated risk. Given the country-level pattern of executive overreach and use of public institutions for patronage, the governance arrangements of the PCU housed within MAFFS—a ministry chaired by a minister who also chairs the National Project Steering Committee—create structural vulnerability to political interference in fund management and procurement decisions.","The political arm of the Entity and / or Management may unduly interfere with, and/or override, project financial management controls. H An independent project financial management unit with officers paid by the Project will manage the fiduciary aspects of the project.",0.88,P153437
SLE-003,Suppression of Civil Society and Erosion of Anti-Corruption Accountability,"The PAD acknowledges weak internal controls and the risk of project funds not being used for intended purposes, and notes that the bulk of external assistance is channeled off-budget with insufficient transparency. In an environment where civil society faces incentives to remain silent on corruption, independent oversight of fund use—including the SLADF matching grant facility—may be compromised.",The bulk of external assistance in terms of programming has been channeled off-budget. Thus resource allocations are not reflected in the government's budget documents and such funds are not disbursed through country Treasury systems. This lack of information and absence of effective instruments to guide the allocation of external financing seriously undermine the integrity and effectiveness of the budgetary system. There is insufficient transparency in public finances and related budget processes.,0.78,P153437
SLE-001,Deep Ethnic and Political Divisions Threatening National Cohesion,"The project's sensitivity analysis flags 'poor targeting resulting from elite capture where the actual beneficiaries are left-out' as a factor affecting project returns. In a context of deep ethnic and political divisions, elite capture of out-grower scheme benefits along political or ethnic lines could undermine the project's targeting of smallholder farmers and erode development outcomes.","The sensitivity of the project returns should also be dependent upon a number of other factors including: poor targeting resulting from elite capture where the actual beneficiaries are left-out, strength and/or weakness of the linkage effects in the local economy and other factors that may affect the operations of the out-grower schemes.",0.75,P153437
SLE-004,Political Violence Including State Security Force Abuses and Election-Related Violence,"The project involves rehabilitation of 500-600 km of feeder roads and deployment of field staff, contractors, and supervisors across all regions including conflict-sensitive rural areas. The PAD notes that labor-based road works involve migrating workers and schedules activities to avoid farm labor demand periods, but does not address risks from political or communal violence disrupting civil works, contractor access, or field supervision missions.","To minimize risks associated with migrating workers, the majority of the labour-based works will be scheduled when demand for farm labour is low, usually from December to March... The project will be implemented in all the regions of the country (northern, eastern, southern and western, including Freetown).",0.65,P153437
