related_country_risk_id,related_country_risk_title,susceptibility_summary,evidence_quote,confidence,PROJ_ID_IB,citation_pdf_url
DJI_R10,Political constraints on civil society may limit broader governance and stabilization engagement,"La conception met fortement l’accent sur l’engagement citoyen, des consultations régulières et un mécanisme de règlement des griefs, notamment avec parents, communautés et représentants locaux. Si l’engagement des parties prenantes est limité (par contraintes sur la société civile/participation), cela peut affaiblir la boucle de rétroaction attendue, la transparence locale (sélection des écoles, suivi de performance) et donc les résultats du projet.","Le PMPP prévoit que les principales parties prenantes, et notamment les parents, les enseignants, les membres de la communauté, le personnel administratif des écoles, les membres d’autres ministères et les représentants locaux, soient régulièrement consultées, afin de les informer des activités du projet et des risques sociaux et environnementaux encourus.",0.58,P166059,http://wbdocsservices.worldbank.org/services?I4_SERVICE=FILE_URLS2&RENDITION=Y&TYPE=T&I4_DOCID=090224b087ef2534&stream=Yes
DJI_R4,Constrained democratic space and repression of opposition and media increase unrest risk,"Le dispositif de S&E du projet dépend explicitement d’autorisations/approbations pour mener des enquêtes et des visites de terrain. Dans un contexte de tensions politiques et d’espace civique contraint, ces autorisations peuvent devenir plus difficiles à obtenir ou plus lentes, ce qui pourrait retarder la collecte de données, la vérification des ILD et l’ajustement de mise en œuvre.","Le système de S&E détaillera les rôles et responsabilités en matière de collecte et d’accès aux données afin de garantir la production régulière et en temps opportun des rapports, y compris les autorisations ou approbations requises pour mener des enquêtes ou des visites sur le terrain.",0.6,P166059,http://wbdocsservices.worldbank.org/services?I4_SERVICE=FILE_URLS2&RENDITION=Y&TYPE=T&I4_DOCID=090224b087ef2534&stream=Yes
DJI_R6,Insurgent activity by FRUD-armé threatens security forces and territorial stability,"Key disbursement-linked results depend on physical access to schools for administering learning assessments and conducting unannounced verification checks. If insecurity affects access to parts of the country, these school-based activities (assessments, communications to schools, and verification) could be delayed or become infeasible, disrupting results-based disbursement.","L’agence de vérification vérifiera avec le MENFOP, et au moyen de contrôles inopinés dans un échantillon d’écoles (comme convenu avec le MENFOP et la Banque mondiale), que les résultats sont communiqués à toutes les écoles primaires participantes...",0.62,P166059,http://wbdocsservices.worldbank.org/services?I4_SERVICE=FILE_URLS2&RENDITION=Y&TYPE=T&I4_DOCID=090224b087ef2534&stream=Yes
DJI_R5,Succession and political transition risks amid erosion of democratic institutions,"The PAD flags constraints in supreme audit institution staffing and the risk that the project may not be audited annually, which could weaken oversight and heighten fiduciary/reputational disruption risks—particularly in a fragile governance context.","le MENFOP est supervisé et audité par l’Institution supérieure de contrôle qui semble disposer du savoir-faire technique nécessaire mais de capacités restreintes en personnel. Par conséquent, le projet pourrait ne pas être régulièrement audité chaque année, limitant une utilisation appropriée des fonds du projet.",0.7,P166059,http://wbdocsservices.worldbank.org/services?I4_SERVICE=FILE_URLS2&RENDITION=Y&TYPE=T&I4_DOCID=090224b087ef2534&stream=Yes
DJI_R9,Refugee hosting pressures amid recurrent droughts and limited resources,"Because the project’s core outcomes rely on accurate population/economic measurement (censuses, surveys, and statistical production), high levels of displacement and population mobility (refugees, asylum seekers, non-registered migrants, and transit movements) create a direct vulnerability to implementation and results disruption through difficulty tracking and sampling populations for field data collection.","“Officially, Djibouti hosts close to 30,000 refugees and asylum seekers from Somalia, Ethiopia, Eritrea, and Yemen, the equivalent of 3 percent of its population, mainly in three camps outside the capital city of the country (Ali-Addeh, Hol-Hol and Merkazi). The country hosts also around 150,000 non-registered migrants… The past decade, Djibouti has also become a country of transit for economic migrants and forcibly displaced populations…”; and “The country is a major transit area for a significant number of people (displaced, nomads and migrants) and goods (through the free trade zones) that are not easy to track.”",0.78,P171777,http://wbdocsservices.worldbank.org/services?I4_SERVICE=FILE_URLS2&RENDITION=Y&TYPE=T&I4_DOCID=090224b08792a550&stream=Yes
DJI_R4,Constrained democratic space and repression of opposition and media increase unrest risk,"The project’s outcomes depend on the statistical office producing and disseminating data; the PAD explicitly highlights a risk that INSD autonomy could be compromised by political/external influence, which could disrupt credibility and delivery of results.","Another risk associated with the project is the ability of INSD to remain autonomous, given that it would be hosted on the same premises as MOFI departments. A statistical bureau must remain independent from any political and external influence in producing and disseminating statistics.",0.78,P171777,http://wbdocsservices.worldbank.org/services?I4_SERVICE=FILE_URLS2&RENDITION=Y&TYPE=T&I4_DOCID=090224b08792a550&stream=Yes
DJI_R10,Political constraints on civil society may limit broader governance and stabilization engagement,"The PAD describes a weak fiduciary/oversight environment with limited non-state actor participation, which could heighten susceptibility to governance constraints affecting transparency and accountability during implementation.","The fiduciary environment is very weak, and the risk that required procedures will be circumvented is real. Most of the institutions established to ensure oversight of governance functions—such as the State Inspector General, the SAI (Court of Accounts), the Anti- Corruption Commission, and the judiciary—are not adequately funded, and this undermines their effectiveness. The internal control mechanisms within the Government are also weak, and there is limited participation of, or contribution from, non-state actors.",0.74,P171777,http://wbdocsservices.worldbank.org/services?I4_SERVICE=FILE_URLS2&RENDITION=Y&TYPE=T&I4_DOCID=090224b08792a550&stream=Yes
DJI_R5,Succession and political transition risks amid erosion of democratic institutions,"Project implementation could be disrupted if domestic political/governance dynamics further erode public trust in state institutions, as the PAD explicitly flags that this would weaken government ability to deliver its broader agenda and thereby affect project implementation.","Political and governance risks are rated as Substantial due to the prevailing political economy challenges. An erosion of public trust in state institutions could undermine the Government’s ability to implement its Vision 2035, which, in turn, could affect the implementation of the project.",0.75,P171777,http://wbdocsservices.worldbank.org/services?I4_SERVICE=FILE_URLS2&RENDITION=Y&TYPE=T&I4_DOCID=090224b08792a550&stream=Yes
DJI_R3,Constitutional revision enabling extended incumbency heightens political tensions,"Implementation may be vulnerable to governance/decision-making bottlenecks if political tensions increase reliance on high-level ministerial decision-making, since the PAD notes past projects faced delays when steering committees deferred to ministers for key decisions.","In past projects, the project steering committee was not sufficiently empowered to resolve significant issues and would often defer to Ministers, which led to delays in making key decisions.",0.6,P171777,http://wbdocsservices.worldbank.org/services?I4_SERVICE=FILE_URLS2&RENDITION=Y&TYPE=T&I4_DOCID=090224b08792a550&stream=Yes
DJI_R9,Refugee hosting pressures amid recurrent droughts and limited resources,"Project planning tools (including definition of rights-holders for land tenure) explicitly risk excluding non-citizens, immigrants, and refugees living in slums—creating a direct vulnerability in beneficiary reach/targeting under displacement pressures.","« Les outils de planification et de gestion du programme pourraient entraîner l'exclusion des plus pauvres, qui ont normalement les plus petites parcelles, et des non-Djiboutiens, des immigrants et des réfugiés vivant dans des bidonvilles. »",0.8,P162901,http://wbdocsservices.worldbank.org/services?I4_SERVICE=FILE_URLS2&RENDITION=Y&TYPE=T&I4_DOCID=090224b086ae0d85&stream=Yes
DJI_R1,Escalating sectarian violence in Djibouti City threatens social cohesion,"The project’s community-facing investments and participatory approaches could face disruption in environments where social tensions rise, as the PAD explicitly links exclusion/limited inclusion and displacement pressures to potential social tensions and the need to strengthen social cohesion between displaced/refugees and host communities.",Ce manque d'inclusion peut exacerber les inégalités économiques et éventuellement générer des tensions sociales.,0.62,P162901,http://wbdocsservices.worldbank.org/services?I4_SERVICE=FILE_URLS2&RENDITION=Y&TYPE=T&I4_DOCID=090224b086ae0d85&stream=Yes
DJI_R5,Succession and political transition risks amid erosion of democratic institutions,Implementation depends on high-level inter-ministerial coordination and a Steering Committee explicitly intended to resolve bottlenecks; governance disruption in a fragile political environment could therefore affect decision-making and unblock implementation issues.,"Compte tenu de la nécessité d'une coordination forte entre les ministères et les entités publiques, un Comité de Pilotage du Projet (CPP) sera mis en place [...] pour [...] appui à la mise en œuvre du projet, notamment en intervenant pour résoudre les blocages.",0.66,P162901,http://wbdocsservices.worldbank.org/services?I4_SERVICE=FILE_URLS2&RENDITION=Y&TYPE=T&I4_DOCID=090224b086ae0d85&stream=Yes
DJI_R10,Political constraints on civil society may limit broader governance and stabilization engagement,"The project’s community-driven microprojects and public space management rely on local civil society associations, but the PAD notes civil society is very weak and lacks a clear regulatory framework—creating susceptibility to disruption or limited execution capacity for these participatory activities.","La société civile est également très faible, sans réglementation claire régissant ni son fonctionnement et ni sa bonne coordination (interne et avec d'autres acteurs).",0.76,P162901,http://wbdocsservices.worldbank.org/services?I4_SERVICE=FILE_URLS2&RENDITION=Y&TYPE=T&I4_DOCID=090224b086ae0d85&stream=Yes
DJI_R2,April 2026 elections may compound fragility amid domestic instability and spillover concerns,"Key elements of the resettlement and site connectivity are to be financed by the Government rather than the project, creating susceptibility if public financing is delayed or disrupted during periods of heightened political fragility.","Les infrastructures hors site pour relier la zone de relogement seront financées par le gouvernement [...] Le reste des besoins financiers pour le relogement sera fourni par le gouvernement, potentiellement à travers les autres programmes de logement.",0.64,P162901,http://wbdocsservices.worldbank.org/services?I4_SERVICE=FILE_URLS2&RENDITION=Y&TYPE=T&I4_DOCID=090224b086ae0d85&stream=Yes
DJI_R3,Constitutional revision enabling extended incumbency heightens political tensions,"The PAD flags weaknesses in public financial management practices and limited external audit assurance for the implementing agency, which can heighten implementation and fiduciary vulnerability in a context of governance-related fragility.",certaines pratiques affectent l'efficacité de la réglementation. C'est notamment le cas pour : (i) le recours aux procédures dérogatoires pour les dépenses publiques ; et (ii) un manque de discipline budgétaire et de contrôle budgétaire.,0.6,P162901,http://wbdocsservices.worldbank.org/services?I4_SERVICE=FILE_URLS2&RENDITION=Y&TYPE=T&I4_DOCID=090224b086ae0d85&stream=Yes
